Inflation,Quarter,Value
RPIX outturn,2004Q1,2.304665542
RPIX outturn,2004Q2,2.165463631
RPIX outturn,2004Q3,2.105263158
RPIX outturn,2004Q4,2.258953168
RPIX outturn,2005Q1,2.197802198
RPIX outturn,2005Q2,2.228260870
RPIX outturn,2005Q3,2.387411829
RPIX outturn,2005Q4,2.262931034
RPIX outturn,2006Q1,2.204301075
RPIX outturn,2006Q2,2.817650186
RPIX outturn,2006Q3,3.232644409
RPIX outturn,2006Q4,3.477344573
RPIX outturn,2007Q1,3.734876381
RPIX outturn,2007Q2,3.412616339
RPIX outturn,2007Q3,2.720739220
RPIX outturn,2007Q4,3.105906314
RPIX outturn,2008Q1,3.498985801
RPIX outturn,2008Q2,4.383333333
RPIX outturn,2008Q3,5.347326337
RPIX outturn,2008Q4,3.786008230
RPIX outturn,2009Q1,2.384452066
RPIX outturn,2009Q2,1.437011017
RPIX outturn,2009Q3,1.312460468
RPIX outturn,2009Q4,2.791435369
RPIX outturn,2010Q1,4.546179614
RPIX outturn,2010Q2,5.162915158
RPIX outturn,2010Q3,4.682378648
RPIX outturn,2010Q4,4.659774726
RPIX outturn,2011Q1,5.340250229
RPIX outturn,2011Q2,5.178865439
RPIX outturn,2011Q3,5.352616669
RPIX outturn,2011Q4,5.277900634
RPIX outturn,2012Q1,3.823870220
RPIX outturn,2012Q2,3.145012096
RPIX outturn,2012Q3,2.901217096
RPIX outturn,2012Q4,3.010782804
RPIX outturn,2013Q1,3.236607143
RPIX outturn,2013Q2,3.062913907
RPIX outturn,2013Q3,3.218264338
RPIX outturn,2013Q4,2.705274606
RPIX outturn,2014Q1,2.675675676
RPIX outturn,2014Q2,2.597054886
RPIX outturn,2014Q3,2.478347768
RPIX outturn,2014Q4,2.025148908
RPIX outturn,2015Q1,1.026585944
RPIX outturn,2015Q2,1.004697286
RPIX outturn,2015Q3,1.027174620
RPIX outturn,2015Q4,1.050856253
RPIX outturn,2016Q1,1.472120896
RPIX outturn,2016Q2,1.524350859
RPIX outturn,2016Q3,2.007722008
RPIX outturn,2016Q4,2.477853383
RPIX outturn,2017Q1,3.261009115
RPIX outturn,2017Q2,3.830003817
RPIX outturn,2017Q3,4.024728741
RPIX outturn,2017Q4,4.096717615
RPIX outturn,2018Q1,3.680218824
RPIX outturn,2018Q2,3.382352941
RPIX outturn,2018Q3,3.298969072
RPIX outturn,2018Q4,3.008785654
RPIX outturn,2019Q1,2.446336491
RPIX outturn,2019Q2,2.939781887
RPIX outturn,2019Q3,2.583069156
RPIX outturn,2019Q4,2.219885501
RPIX outturn,2020Q1,2.668851691
RPIX outturn,2020Q2,1.381851681
RPIX outturn,2020Q3,1.339132425
RPIX outturn,2020Q4,1.360155446
RPIX outturn,2021Q1,1.596169194
RPIX outturn,2021Q2,3.509768287
RPIX outturn,2021Q3,4.596792410
RPIX outturn,2021Q4,7.025259359
RPIX outturn,2022Q1,8.483896308
RPIX outturn,2022Q2,11.631734884
RPIX outturn,2022Q3,12.320483749
