"","Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"0","Turkiye","TUR","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","1000000","1000000","1000000","954000","954000","954000","1108000","1113000","1097000","1099000","1099000","1099000"
"1","Turkiye","TUR","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","44.393592677346","41.273100616016","36.127744510978","44.759825327511","60.621761658031","50.905797101449","54.697986577181","33.216783216783","19.559517566859","21.909233176839","25","38.589065255732","31.847133757962","38.831886345698","42.409508373852","40.645366396439","40.916011164679","32.512556658091","39.289570287195","37.640235786271","40.296558798844","34.245250431779","43.962029256147","36.558241528742","31.078681851643","32.264665757162","39.835150503417","53.922548823569","60.659607955358","74.182751310945","71.442337173142","69.780379608756","67.762596071734","65.635239671655","63.748226563353","64.996040276049","62.795417894678","61.482208588957","58.267046760771","47.634198213526","47.505144032922","48.165909625581","40.931624118277","42.222514416665","43.064733705582","44.908989626775","26.982785933045","34.093997086123"
"2","Turkiye","TUR","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","437000000","487000000","501000000","458000000","386000000","552000000","596000000","1144000000","1907000000","1917000000","2192000000","2835000000","2983000000","3801000000","5553000000","6291000000","7882000000","8163000000","9262000000","10518000000","10723000000","14475000000","12852000000","19153000000","23093000000","16126000000","19169000000","15003000000","13978000000","17926000000","22831000000","27502000000","25762000000","29603000000","36652000000","35356000000","35966000000","40750000000","43498000000","58775000000","62208000000","55259000000","45791000000","53237000000","58563000000","66421000000","37876000000","61087000000"
"3","Turkiye","TUR","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","319000000","347000000","380900000","367900000","410900000","454200000","490600000","522500000","495900000","536950000","588490000","676630000","892160000","1316520000","1531960000","1400860000","1960160000","1752710000","2288310000","2258760000","2913780000","4695630000","5746840000","5732090000","7133020000","7957920000","7455920000","10237600000","11753020000","11823411000","13384405000","13722289000","14595879000","15345585000","18284501000","21649485000","23100360859","26245506000","27184321000","26587129400","27774906054","31334216363","36059281684","47253986396","63016888939","73306851637","85165833378","106539000000","132027000000","102143000000","113883000000","134907000000","152462000000","161481000000","166505000000","150982000000","149247000000","164495000000","177169000000","180833000000","169638000000",""
"4","Turkiye","TUR","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","9.1222570532915","10.778097982709","6.6946705171961","6.740962217994","7.1793623752738","6.2967855570233","5.2181002853649","4.9186602870813","7.0982052833233","7.0900456280846","8.5812843038964","9.7054520195676","9.3839670014347","12.696350985933","13.780385910859","15.718915523321","10.881254591462","11.521586571652","13.597370985575","16.155766880944","18.779043030016","35.340518737635","38.49785273298","36.85252673981","33.408710476068","32.975953515491","26.298163070419","21.497714308041","20.394502859691","16.71471117768","12.767418499365","13.663646057884","12.635573369716","10.377844832895","9.2531319285115","9.1242909473366","9.4315020717573","7.4200626956859","8.7355501724689","7.810953968577","6.5253836555785","7.0443920901958","6.3723938905294","8.0703892260883","9.3716328756196","10.168594630024","9.5725330307235","9.5262544063676","10.946296908208","17.24260150769","17.15919605121","16.161298736166","21.604921996301","20.445834256043","19.513968291643","17.954633419878","17.476086874778","15.869671024043","15.114221128414","15.811146156951","14.72096829425",""
"5","Turkiye","TUR","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","9.5924764890282","11.325648414986","6.7209241270675","6.7953248165262","7.5444146994403","6.9793042712461","5.5238483489605","5.4354066985646","7.582173825368","7.551913585995","9.8370405614369","10.969067289361","12.074067431851","16.0316592228","16.223008433641","17.365761032509","11.79801648845","13.455734262941","15.344511888686","17.487471001789","19.544028718709","37.200759003584","40.914137160596","38.488230296454","35.009995766169","34.397430484348","29.523787808882","24.633800890834","25.841783643693","19.899418196661","16.457115575926","16.55325871653","14.884406756181","16.423916064458","15.004729962278","14.678122828326","13.172477926095","10.890363477846","11.789884323394","11.291973758551","9.5431150760572","10.613000598052","10.165664197428","12.126106582798","12.832761818547","14.246465496451","13.711603581885","14.044224713955","16.478597863316","23.995180406881","24.245545690753","23.73416529461","29.038766703834","28.658073713935","26.972770842317","25.245124247261","24.581827451808","23.328058063771","23.435676013862","24.02954892138","23.413759503177",""
"6","Turkiye","TUR","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","6.5802427428446","4.4344241873989","5.9041628981395","7.6018025920143","14.051291729913","6.7432670573853","7.7389672392012","6.9019054446111","7.57919331195","6.0033347075766","4.3954582264126","4.2296640097295","7.2363452433866","8.3668110170219","6.3948643087047","8.2201161461285","5.7035387994565","6.3641911759128","7.0344071673499","4.5712610784675","3.6467371782332","4.4594922609839","4.4465196382675","4.3040887196041","4.6515312004207","3.8252982419432","","5.9110542332822","4.472398685239","3.3704196751752","2.9104965023622","2.5946908165814","2.6234555333291","3.3052695429559","3.0603033357361","3.0463139233216","2.8791495397567","2.7889282843006","2.5874229821419","2.2207337200453","2.0085603502606","2.0061341586809","2.1762687302951","2.4680196185839","3.3002289292674","3.4679926833759","3.3088576314043","3.0641648801022","4.3343855094443","4.1656776254155","3.9116817174711","4.1252965635558","3.7727574031647","3.5467201156684","3.4489007487041","3.9192917992138","4.0688858047192","3.7199895636618","4.0320777259181","4.95569588304"
"7","Turkiye","TUR","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","1.616342573848","2.4864758288755","2.2857984272291","1.230255509289","0.68242660162908","0.085612771983436","0.26866988683748","0.73995486503681","0.6231864736661","0.43626158486112","2.5254530554189","3.7154658265514","5.5863452850039","2.5732067682087","0.82689759052469","0.0040190533120865","0.15573830535713","0.092020676453383","1.4276255578599","2.2808708663664","5.9997111705057","4.107654606515","5.7040530589307","4.681598418681","2.4234275766328","2.2909545337516","","2.2228521000115","2.2867264144398","2.1360114238579","1.5843116859366","1.1499960046161","1.3467295863456","1.3351202005954","1.1543335141172","0.7330535419746","0.96315268835903","1.2666240285216","1.0688000617466","1.4187177471054","1.9100793301581","2.0742214789729","2.2641247179732","3.5943837603766","4.1693175047464","4.7988808839298","5.7045254686276","3.8389244704759","3.8363597651214","4.7532824352188","4.9047535918977","6.111335211478","4.368138216261","3.2641810192419","2.1374285685829","2.7537247229335","3.1227004218546","4.4941636798414","2.692390350846","3.6900015533629"
"8","Turkiye","TUR","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","8.731264559","10.64917873","9.667169743","7.781968476","5.931552153","21.38191666","20.65146257","24.78905463","29.36192301","38.04841454","38.88192817","41.12745408","44.14837377","46.82040992","57.18245042","60.38858184","67.98118919","80.81175671","86.71112613","91.16555904","100","115.7747752","135.7239326","157.856206","180.9153083","198.5180581","223.3109354","248.4719989","264.718298","244.2249933","263.380792","279.9407503","325.2460539","323.4688744","358.8554125","368.4581159","382.3985696","414.1665548","434.0658382","462.9790683","440.5337619",""
"9","Turkiye","TUR","Transport services (% of commercial service imports)","TM.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","53.279742765273","57.741935483871","51.97247706422","38.459069020867","64.95867768595","66.143344709898","61.652360515021","67.777777777778","32.642105263158","29.655172413793","39.17878528657","40.359477124183","42.313664596273","39.742765273312","33.6860670194","30.253623188406","32.211882605583","29.443875810304","29.752822703692","33.249791144528","27.881802223523","30.339492909325","28.853165396089","23.12925170068","25.987922449412","25.719020002367","33.407660020986","37.68862062844","36.386722292763","40.899765533411","47.024952015355","47.843064336184","42.846768336964","46.698365925529","47.405674173735","40.647301865531","43.648349273248","44.085636911757","45.913597369908","25.859753367791","23.659972821984","21.728740936058","28.791280564967","30.154401597788","34.532899784443","34.875250409761","35.136078157711","42.611130556528"
